timestamp,latitude,longitude,altitude,velocity_n,velocity_e,velocity_d,roll,pitch,yaw,covariance
1691186884,40.23280873389745,-75.39096204171133,-2820.645518977361,22.315141972845183,-22.657962530088763,-7.763287689834205,-0.13022192217835635,-0.11358315842866692,-0.5513692014163679,
1691186885,40.23301067817503,-75.39122895745827,-2828.494280478805,22.32469895878582,-22.689158534179544,-7.9342353130545025,-0.12745519424988158,-0.11208893621187568,-0.5491028588334957,
1691186886,40.233212652290256,-75.3914962434708,-2836.4811426351416,22.3216817799309,-22.720676250402313,-8.039488999618687,-0.12734246629451146,-0.10973139757672513,-0.550564182799443,
1691186887,40.23341462636081,-75.3917639186446,-2844.598171470917,22.3246323133141,-22.755080963376926,-8.194568671932176,-0.1284950110446674,-0.107529638092259,-0.5507486250884489,
1691186888,40.23361683759765,-75.39203208280152,-2852.8783905371483,22.37404942417441,-22.803555786704514,-8.365869460530963,-0.12804738670478236,-0.11187378084014497,-0.5489089666902378,
1691186889,40.2338194942397,-75.39230086299008,-2861.2561041244517,22.423029966012255,-22.859542931125183,-8.38955771407554,-0.12872702745649853,-0.11946857417697784,-0.5490266192790939,
1691186890,40.234022353998576,-75.39256998682102,-2869.588856891949,22.4188891018481,-22.8617405329782,-8.275947820918763,-0.12810358369549601,-0.12324384360061946,-0.5512212624843462,
1691186891,40.23422501727016,-75.39283927022798,-2877.9118938268793,22.379537782280256,-22.886456417309553,-8.37012604894181,-0.1280905890041531,-0.12047817711971834,-0.5517255689797758,
1691186892,40.23442738259652,-75.39310891352349,-2886.3517747079027,22.352969520718858,-22.922684272305737,-8.509635713104753,-0.12935530419222682,-0.11709000214822247,-0.5512334551270213,
1691186893,40.23462957570402,-75.39337914849717,-2894.974909483329,22.341408877401957,-22.986776763139925,-8.736633837747863,-0.12814832859052033,-0.11448354959496719,-0.5510073459224494,
1691186894,40.23483170524734,-75.39365031873433,-2903.941037733837,22.33885672778846,-23.081372407871406,-9.195622663268466,-0.12636397208697941,-0.1113312702151557,-0.5498987271438652,
1691186895,40.23503372305117,-75.39392235352985,-2913.1969338125086,22.3166448903535,-23.13344964905118,-9.316169494074435,-0.12750289964176173,-0.10768258467229763,-0.5520200134644164,
1691186896,40.23523583966997,-75.39419478970838,-2922.4020319777887,22.360634348049597,-23.14935660508164,-9.094026836485437,-0.12864497958639387,-0.11169247051063334,-0.5522493919793301,
1691186897,40.23543818066089,-75.39446700584163,-2931.2701291771127,22.366177883912634,-23.095863760945306,-8.642167562162625,-0.1292884851411765,-0.11419812542639914,-0.5543292426397682,
1691186898,40.2356405171808,-75.39473874240863,-2939.7906770518703,22.359584646900235,-23.067684921999824,-8.398928187352217,-0.12955699385240416,-0.1145952291351063,-0.5565882571716532,
1691186899,40.23584267608799,-75.39501013409853,-2948.061186391089,22.326858001638776,-23.037076430256292,-8.1420904910852,-0.1302152297369606,-0.11126430959428822,-0.5575428077525105,
1691186900,40.23604466215213,-75.39528112408166,-2956.051609978771,22.321321019561584,-22.9992458039993,-7.8387566842790255,-0.1308117196947422,-0.10808749990169869,-0.5583683348235172,
1691186901,40.23624671741962,-75.39555201933744,-2963.8627722292617,22.34209937203573,-23.02078949804742,-7.783567816702196,-0.1290917753135974,-0.10969538131066811,-0.5563768759900642,
