time,lat_deg,lon_deg,alt_m,vel_n_mps,vel_e_mps,vel_d_mps,roll_deg,pitch_deg,yaw_deg,dt_s
2023-08-04 22:34:06+00:00,-2641.51025532,39583.17989874,-50543739865819486130067485727146614121679962035729695544743761675848553618103348890613841920.0000,207194355984516304590438939899804123799923619773147196702040363685435252120779098169540608.000000,63372557759298397559633794900920460247016158870696124810307237134461084424734364082896896.000000,-751743710916413863776302048244333334775631317463848742321042110773593330981455991423369216.000000,-140.014787,-38.055209,-101.521328,1.000000
2023-08-04 22:34:07+00:00,-2641.74390411,39583.31530067,-51296788208688965202128033183083515573820084698246250400998120414650342698317280771336830976.0000,208089185341206735830565732676556743446220449946405027720310278816115570148829394267799552.000000,62814647434181687561944874788169128981060973977956680671801278911904428028586743453188096.000000,-754352974822542584171610676380513169539013294367485775803134366235785032704454529107623936.000000,-139.906646,-37.403403,-100.889535,1.000000
2023-08-04 22:34:08+00:00,-2641.97513134,39583.44669828,-52052439397370996756867897108909797397070512644484164951514490660608693960365100951912054784.0000,208979077046591175639157512157333282658133691219407954640485346223302190294151250898321408.000000,62272929811740972868827453169765484776675853238190750662486514004924053025585828764581888.000000,-756949402541515323710358467708584183734000410956232729117013723858704781382529226570203136.000000,-140.821089,-37.671273,-99.456019,1.000000
2023-08-04 22:34:09+00:00,-2642.20399007,39583.57426964,-52810680735183736237483306374299519049563702890464057304301394521114512220318727876118577152.0000,209864203802716464950552652039121439498978234563695605085244981178763862055894557764091904.000000,61746688508289952560249450563467563322432707953341613810344001706879987362197982144364544.000000,-759533273083964994459005812870024241224860651564972131964426797628291575918287214574829568.000000,-141.341583,-37.287788,-98.603464,1.000000
2023-08-04 22:34:10+00:00,-2642.43053166,39583.69818240,-53571499799294433441042375906777870558687512297550791362125905938288912209953686483520978944.0000,210744728266403955570345044056004174503442905759027690158530926836391955017660914439553024.000000,61235249475536172476878485011524337856131951086019353771382159318486050731917441822097408.000000,-762104855137423193357465232173838643815555547535320270941279034541775815297801450208362496.000000,-141.455378,-36.991718,-97.825244,1.000000
2023-08-04 22:34:11+00:00,-2642.65480587,39583.81859454,-54334884430664496183462362881395534520497648320118442775340003464982374879639962694914670592.0000,211620803834206796992242086353877657996446933853541541509190238806403095624271921663705088.000000,60737977915402648556605671092384004876256014332374413585459843993208658065863489477410816.000000,-764664407602695619867992113882260773273353692339666790907721416507963656889734891646746624.000000,-142.130459,-36.917660,-96.858511,1.000000
2023-08-04 22:34:12+00:00,-2642.87686088,39583.93565505,-55100822724513273576247790136851790219222789408420951108512826357529663813192306740275707904.0000,212492575352958565163482231658889506458829291888706030438506653046048439745690731569741824.000000,60254275460181422882548708142735152115208834644836798964825960103368352610516028115386368.000000,-767212180094863801909560375510731450749570433683535406755669770210760321309625390909620224.000000,-142.229844,-36.934404,-96.156272,1.000000
2023-08-04 22:34:13+00:00,-2643.09674340,39584.04950458,-55869303021266552225781552517922899863202636036730800992247343672109163555476661341953982464.0000,213360179764047655737286594422252442969491247302460338714123936700504806250351974890340352.000000,59783577591877016495885833896097843948619185909781567605078321604279255290282538889641984.000000,-769748413411689313264114991417395383961641063705118881231497057482546331295599151523299328.000000,-142.878435,-36.856175,-95.392664,1.000000
2023-08-04 22:34:14+00:00,-2643.31449871,39584.16027599,-56640313897958371224974538790711561253948411847729014435588964566781441915308569305836158976.0000,214223746688556097614663055170084643614953762435101934068328072692728889500805883353890816.000000,59325351277482855868501879970107499236708855016372193703195047080381717764379324807380992.000000,-772273339971948911278281845793121584191990653384878031369683531941237027933810541696385024.000000,-143.742280,-36.535254,-94.360949,1.000000
2023-08-04 22:34:15+00:00,-2643.53017068,39584.26809492,-57413844160057345418070409394843599632618340753073712560966470116366968703522591634909822976.0000,215083398959537411958875115668537889280288080578204083873469426175679308333601503393611776.000000,58879092799474532548685055208873765065315002151985825190483605238908996196367177852387328.000000,-774787184226004676511218070034421466375709344456628815497919969052029258502890721923563520.000000,-143.700882,-36.029941,-93.950545,1.000000
